New York	GPE	jfkmessages	5
CIA	ORG	kisdeath	5
Monkey	NORP	kurt	5
Spaniards	NORP	mccabe04	5
Duce	NORP	mccabe08	5
Japanese	NORP	mccabe09	5
Russians	NORP	mccabe10	5
Spaniard	NORP	mccabe10	5
Marconi	PERSON	mccabe12	5
African	NORP	mccabe14	5
New York	GPE	mccabe17	5
Vatican	GPE	mccabe18	5
Tesla	PERSON	mism16	5
New York	GPE	moynihan	5
Reagan	PERSON	ntlguard	5
Trilateralists	NORP	opal	5
New York	GPE	panamatv	5
ABC	ORG	pcensor	5
Sun	LOC	right-lf	5
CIA	ORG	sc002	5
Rockefeller	PERSON	senators	5
Jew	NORP	shoah001	5
New York City	GPE	taking	5
McDonald	PERSON	taking	5
Milwaukee	GPE	taking	5
Jew	NORP	twins	5
Roswell	GPE	uni-cons	5
KRLL	PERSON	uni-cons	5
BATF	ORG	weaver	5
New York	GPE	wtcbomb1	5
Jews	NORP	wtcbomb1	5
Zionist	NORP	zionism	5
Inslaw	ORG	a-z-cons	4
FBI	ORG	cncka003	4
Tesla	PERSON	consp	4
Reagan	PERSON	consp	4
North	LOC	contrcia	4
Cubans	NORP	deaths	4
Indians	NORP	dictator	4
Columbian	GPE	drugrunr	4
CIA	ORG	drugrunr	4
North	LOC	exec_ord	4
North	LOC	executiv	4
Reynolds	PERSON	fema-1	4
CIA	ORG	fema-1	4
New York	GPE	fema-2	4
North	LOC	fema-3	4
Russian	NORP	forg0int	4
CHRISTIAN	NORP	forg1	4
Judaism	NORP	forg1	4
Indian	NORP	forg1	4
Babylonian	GPE	forg2	4
Judah	NORP	forg2	4
Judas	NORP	forg4	4
Constantine	PERSON	forg4	4
Jews	NORP	forg6	4
Reagan	PERSON	goldtrig	4
Northeast	PERSON	if_entap	4
Pennsylvania	GPE	illumhis	4
Freemasons	NORP	illumina	4
Sunday	LOC	incon001	4
Rockefeller	PERSON	incon002	4
Patriots	NORP	incon007	4
North	LOC	incon007	4
Russian	NORP	incon007	4
Patriot	NORP	incon008	4
UFO	EVENT	intro	4
Egyptian	NORP	issue-15	4
Patriot	NORP	issue-15	4
Indian	NORP	issue-17	4
RACIAL	ORG	issue-19	4
Judaism	NORP	issue-19	4
Egyptian	NORP	issue-26	4
CHRISTIANITY	NORP	issue-26	4
FBI	ORG	jfk-0001	4
FBI	ORG	jfk-0003	4
Clinton	PERSON	jfk-echo	4
Russian	NORP	jfkmessages	4
British	NORP	kgbbib	4
CHRISTIAN	NORP	kurt	4
Jews	NORP	kurt	4
Albuquerque	GPE	kurt	4
CIA	ORG	larouche	4
Jewish	NORP	lock-imm	4
Egyptian	NORP	lostkey	4
Japanese	NORP	mccabe03	4
Russian	NORP	mccabe03	4
Jews	NORP	mccabe07	4
Harriman	PERSON	mccabe09	4
British	NORP	mccabe14	4
Owen	PERSON	mccabe14	4
New York	GPE	mccabe15	4
British	NORP	mccabe16	4
Russian	NORP	mccabe16	4
Rockefeller	PERSON	moynihan	4
Masonic	NORP	msnscrts	4
FBI	ORG	nag	4
FBI	ORG	no_reps	4
FBI	ORG	opal	4
New York	GPE	outline1	4
Tesla	PERSON	outline1	4
Canada	GPE	peril	4
UFO	EVENT	pgen	4
New York	GPE	right-lf	4
AFFIDAVIT	PERSON	rockfell	4
ENGLAND	GPE	rockfell	4
GERMANY	GPE	rockfell	4
Columbian	GPE	rockfell	4
Japanese	NORP	sc001	4
Clinton	PERSON	sc016	4
Clinton	PERSON	sc017	4
Nicaraguan	NORP	scrtgovt	4
Vietnamese	NORP	secret	4
Nicaraguan	NORP	secret	4
Vietnamese	NORP	secretw	4
Nicaraguan	NORP	secretw	4
Dodd	PERSON	senators	4
Reagan	PERSON	shadwcia	4
Dachau	LOC	shoah001	4
Russians	NORP	shoah002	4
British	NORP	shoah002	4
New York	GPE	shoah003	4
Dachau	LOC	shoah004	4
Inslaw	ORG	skolnick9503	4
Reagan	PERSON	taking	4
Montreal	GPE	taking	4
Jews	NORP	totalism	4
Koresh	PERSON	waco1	4
Reagan	PERSON	waves	4
New York City	GPE	wtcbomb1	4
Judaism	NORP	wtcbomb1	4
FBI	ORG	wtcbomb2	4
Judaism	NORP	zionism	4
IBM	ORG	666_ibm	3
Jews	NORP	a-z-cons	3
Clinton	PERSON	a-z-cons	3
FBI	ORG	a-z-cons	3
Japanese	NORP	a-z-cons	3
Egyptian	NORP	consp	3
CIA	ORG	contra	3
Owen	PERSON	contrcia	3
Broadway	LOC	cowtown	3
Baltimore	GPE	crybaby	3
Reynolds	PERSON	deaths	3
Cuban	NORP	deaths	3
FBI	ORG	drugrunr	3
CHRISTIAN	NORP	evol-110	3
Indian	NORP	exec_ord	3
Pennsylvania	GPE	exec_ord	3
Cuban	NORP	exec_ord	3
Canada	GPE	exec_ord	3
Indian	NORP	executiv	3
Pennsylvania	GPE	executiv	3
Cuban	NORP	executiv	3
Canada	GPE	executiv	3
New York	GPE	fema-1	3
Cuban	NORP	fema-2	3
Canada	GPE	fema-2	3
Jews	NORP	forg0int	3
New York	GPE	forg0int	3
Jew	NORP	forg0int	3
Judaea	NORP	forg3	3
OFFICIAL	ORG	forg3	3
Jews	NORP	forg4	3
Evangelist	NORP	forg4	3
Evangelists	NORP	forg5	3
Sun	LOC	forg6	3
African	NORP	forg7	3
Masonic	NORP	freeasoc	3
REBELLION	PERSON	goldtrig	3
Montreal	GPE	goldtrig	3
British	NORP	gun-ctrl	3
FBI	ORG	handbank	3
Cuban	NORP	hoover	3
Moon	LOC	if_entap	3
Sun	LOC	if_entap	3
Jews	NORP	if_felcr	3
Moon	LOC	if_felcr	3
North	LOC	if_felcr	3
Babylonia	GPE	illumhis	3
Sun	LOC	illumhis	3
Bagdad	GPE	illumhis	3
African	NORP	illumhis	3
Freemasonry	NORP	illumhis	3
Freemasons	NORP	illumhis	3
Indian	NORP	illumhis	3
Egyptian	NORP	illumhis	3
Canada	GPE	illumhis	3
CBS	ORG	illumhis	3
FBI	ORG	illumin	3
Vatican	GPE	illumin	3
British	NORP	illumin	3
Montreal	GPE	illumin	3
North	LOC	illumin	3
Heathens	NORP	incon001	3
Dodd	PERSON	incon001	3
Monk	NORP	incon002	3
British	NORP	incon002	3
SOCIAL	ORG	incon002	3
New York City	GPE	incon003	3
Rockefeller	PERSON	incon007	3
Framers	NORP	incon007	3
Jewish	NORP	incon008	3
Rockefeller	PERSON	incon013	3
Canada	GPE	ins-rich	3
Indians	NORP	ins-rich	3
Dodd	PERSON	inslaw	3
Pennsylvania	GPE	inslaw2	3
